"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"05/09/2013","51","","Not Available","49-047-2002","AQS"
"05/10/2013","54","","Not Available","49-047-2003","AQS"
"05/11/2013","61","","Little Mountain","49-047-0014","AQS"
"05/12/2013","64","","Little Mountain","49-047-0014","AQS"
"05/13/2013","67","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"05/14/2013","61","","Little Mountain","49-047-0014","AQS"
"05/15/2013","67","","Little Mountain","49-047-0014","AQS"
"05/16/2013","77","","Little Mountain","49-047-0014","AQS"
"05/17/2013","90","","Vernal","49-047-1003","AQS"
"05/18/2013","71","","Little Mountain","49-047-0014","AQS"
"05/19/2013","71","","Not Available","49-047-5632","AQS"
"05/20/2013","44","","Little Mountain","49-047-0014","AQS"
"05/21/2013","51","","Not Available","49-047-2002","AQS"
"05/22/2013","84","","Little Mountain","49-047-0014","AQS"
"05/23/2013","77","","Not Available","49-047-5632","AQS"
"05/24/2013","87","","Not Available","49-047-5632","AQS"
"05/25/2013","80","","Little Mountain","49-047-0014","AQS"
"05/26/2013","87","","Little Mountain","49-047-0014","AQS"
"05/27/2013","74","","Little Mountain","49-047-0014","AQS"
"05/28/2013","54","","Little Mountain","49-047-0014","AQS"
"05/29/2013","64","","Not Available","49-047-5632","AQS"
"05/30/2013","77","","Not Available","49-047-5632","AQS"
"05/31/2013","105","","Not Available","49-047-5632","AQS"
"06/01/2013","74","","Not Available","49-047-5632","AQS"
"06/02/2013","71","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"06/03/2013","74","","Little Mountain","49-047-0014","AQS"
"06/04/2013","74","","Not Available","49-047-5632","AQS"
"06/05/2013","77","","Little Mountain","49-047-0014","AQS"
"06/06/2013","84","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"06/07/2013","46","","Not Available","49-047-5632","AQS"
"06/08/2013","71","","Not Available","49-047-5632","AQS"
"06/09/2013","54","","Not Available","49-047-5632","AQS"
"06/10/2013","46","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"06/11/2013","93","","Not Available","49-047-5632","AQS"
"06/12/2013","77","","Little Mountain","49-047-0014","AQS"
"06/13/2013","71","","Not Available","49-047-5632","AQS"
"06/14/2013","67","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"06/15/2013","77","","Not Available","49-047-2002","AQS"
"06/16/2013","74","","Little Mountain","49-047-0014","AQS"
"06/17/2013","77","","Little Mountain","49-047-0014","AQS"
"06/18/2013","87","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"06/19/2013","74","","Little Mountain","49-047-0014","AQS"
"06/20/2013","80","","Not Available","49-047-5632","AQS"
"06/21/2013","90","","Little Mountain","49-047-0014","AQS"
"06/22/2013","77","","Not Available","49-047-5632","AQS"
"06/23/2013","61","","Not Available","49-047-2003","AQS"
"06/24/2013","49","","Little Mountain","49-047-0014","AQS"
"06/25/2013","44","","Not Available","49-047-2003","AQS"
"06/26/2013","46","","Little Mountain","49-047-0014","AQS"
"06/27/2013","48","","Not Available","49-047-2003","AQS"
"06/28/2013","47","","Not Available","49-047-2002","AQS"
"06/29/2013","64","","Not Available","49-047-2003","AQS"
"06/30/2013","49","","Little Mountain","49-047-0014","AQS"
"07/01/2013","49","","Not Available","49-047-2003","AQS"
"07/02/2013","50","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"07/03/2013","51","","Little Mountain","49-047-0014","AQS"
"07/04/2013","58","","Little Mountain","49-047-0014","AQS"
"07/05/2013","77","","Little Mountain","49-047-0014","AQS"
"07/06/2013","67","","Little Mountain","49-047-0014","AQS"
"07/07/2013","61","","Little Mountain","49-047-0014","AQS"
"07/08/2013","67","","Little Mountain","49-047-0014","AQS"
"07/09/2013","112","","Little Mountain","49-047-0014","AQS"
"07/10/2013","105","","Little Mountain","49-047-0014","AQS"
"07/11/2013","87","","Little Mountain","49-047-0014","AQS"
"07/12/2013","50","","Not Available","49-047-2002","AQS"
"07/13/2013","48","","Little Mountain","49-047-0014","AQS"
"07/14/2013","58","","Little Mountain","49-047-0014","AQS"
"07/15/2013","80","","Not Available","49-047-2003","AQS"
"07/16/2013","71","","Not Available","49-047-2002","AQS"
"07/17/2013","74","","Little Mountain","49-047-0014","AQS"
"07/18/2013","80","","Vernal","49-047-1003","AQS"
"07/19/2013","97","","Not Available","49-047-2002","AQS"
"07/20/2013","84","","Not Available","49-047-2002","AQS"
"07/21/2013","74","","Not Available","49-047-2002","AQS"
"07/22/2013","64","","Vernal","49-047-1003","AQS"
"07/23/2013","58","","Not Available","49-047-2002","AQS"
"07/24/2013","54","","Little Mountain","49-047-0014","AQS"
"07/25/2013","71","","Not Available","49-047-2003","AQS"
"07/26/2013","74","","Not Available","49-047-2002","AQS"
"07/27/2013","50","","Little Mountain","49-047-0014","AQS"
"07/28/2013","51","","Not Available","49-047-2002","AQS"
"07/29/2013","58","","Not Available","49-047-2002","AQS"
"07/30/2013","74","","Not Available","49-047-2002","AQS"
"07/31/2013","58","","Little Mountain","49-047-0014","AQS"
"08/01/2013","49","","Little Mountain","49-047-0014","AQS"
"08/02/2013","50","","Little Mountain","49-047-0014","AQS"
"08/03/2013","58","","Little Mountain","49-047-0014","AQS"
"08/04/2013","54","","Little Mountain","49-047-0014","AQS"
"08/05/2013","67","","Little Mountain","49-047-0014","AQS"
"08/06/2013","61","","Not Available","49-047-2002","AQS"
"08/07/2013","58","","Little Mountain","49-047-0014","AQS"
"08/08/2013","58","","Little Mountain","49-047-0014","AQS"
"08/09/2013","48","","Not Available","49-047-2002","AQS"
"08/10/2013","46","","Little Mountain","49-047-0014","AQS"
"08/11/2013","47","","Not Available","49-047-2002","AQS"
"08/12/2013","44","","Little Mountain","49-047-0014","AQS"
"08/13/2013","49","","Not Available","49-047-2003","AQS"
"08/14/2013","58","","Little Mountain","49-047-0014","AQS"
"08/15/2013","80","","Little Mountain","49-047-0014","AQS"
"08/16/2013","77","","Little Mountain","49-047-0014","AQS"
"08/17/2013","61","","Little Mountain","49-047-0014","AQS"
"08/18/2013","54","","Little Mountain","49-047-0014","AQS"
"08/19/2013","71","","Not Available","49-047-2003","AQS"
"08/20/2013","64","","Not Available","49-047-2003","AQS"
"08/21/2013","71","","Not Available","49-047-2002","AQS"
"08/22/2013","45","","Little Mountain","49-047-0014","AQS"
"08/23/2013","51","","Little Mountain","49-047-0014","AQS"
"08/24/2013","54","","Not Available","49-047-2003","AQS"
"08/25/2013","48","","Little Mountain","49-047-0014","AQS"
"08/26/2013","41","","Not Available","49-047-2002","AQS"
"08/27/2013","43","","Not Available","49-047-2002","AQS"
"08/28/2013","46","","Little Mountain","49-047-0014","AQS"
"08/29/2013","64","","Not Available","49-047-2002","AQS"
"08/30/2013","80","","Not Available","49-047-2002","AQS"
"08/31/2013","64","","Not Available","49-047-2002","AQS"
"09/01/2013","47","","Little Mountain","49-047-0014","AQS"
"09/02/2013","42","","Little Mountain","49-047-0014","AQS"
"09/03/2013","47","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"09/04/2013","54","","Vernal","49-047-1003","AQS"
"09/05/2013","51","","Little Mountain","49-047-0014","AQS"
"09/06/2013","58","","Not Available","49-047-2003","AQS"
"09/07/2013","58","","Little Mountain","49-047-0014","AQS"
"09/08/2013","49","","Little Mountain","49-047-0014","AQS"
"09/09/2013","49","","Not Available","49-047-2003","AQS"
"09/10/2013","39","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"09/11/2013","41","","Not Available","49-047-2003","AQS"
"09/12/2013","49","","Little Mountain","49-047-0014","AQS"
"09/13/2013","45","","Little Mountain","49-047-0014","AQS"
"09/14/2013","44","","Little Mountain","49-047-0014","AQS"
"09/15/2013","51","","Vernal","49-047-1003","AQS"
"09/16/2013","47","","Little Mountain","49-047-0014","AQS"
"09/17/2013","45","","Little Mountain","49-047-0014","AQS"
"09/18/2013","54","","Little Mountain","49-047-0014","AQS"
"09/19/2013","54","","Not Available","49-047-2003","AQS"
"09/20/2013","71","","Not Available","49-047-2003","AQS"
"09/21/2013","58","","Little Mountain","49-047-0014","AQS"
"09/22/2013","42","","Little Mountain","49-047-0014","AQS"
"09/23/2013","44","","Little Mountain","49-047-0014","AQS"
"09/24/2013","45","","Little Mountain","49-047-0014","AQS"
"09/25/2013","48","","Little Mountain","49-047-0014","AQS"
"09/26/2013","44","","Little Mountain","49-047-0014","AQS"
"09/27/2013","42","","Little Mountain","49-047-0014","AQS"
"09/28/2013","39","","Little Mountain","49-047-0014","AQS"
"09/29/2013","42","","Little Mountain","49-047-0014","AQS"
"09/30/2013","41","","Not Available","49-047-2003","AQS"
"10/01/2013","45","","Little Mountain","49-047-0014","AQS"
"10/02/2013","48","","Little Mountain","49-047-0014","AQS"
"10/03/2013","42","","Little Mountain","49-047-0014","AQS"
"10/04/2013","34","","Little Mountain","49-047-0014","AQS"
"10/05/2013","36","","Little Mountain","49-047-0014","AQS"
"10/06/2013","39","","Little Mountain","49-047-0014","AQS"
"10/07/2013","44","","Little Mountain","49-047-0014","AQS"
"10/08/2013","54","","Little Mountain","49-047-0014","AQS"
"10/09/2013","45","","Little Mountain","49-047-0014","AQS"
"10/10/2013","42","","Little Mountain","49-047-0014","AQS"
"10/11/2013","44","","Little Mountain","49-047-0014","AQS"
"10/12/2013","44","","Little Mountain","49-047-0014","AQS"
"10/13/2013","47","","Little Mountain","49-047-0014","AQS"
"10/14/2013","40","","Little Mountain","49-047-0014","AQS"
"10/15/2013","34","","Little Mountain","49-047-0014","AQS"
"10/16/2013","41","","Little Mountain","49-047-0014","AQS"
"10/17/2013","44","","Little Mountain","49-047-0014","AQS"
"10/18/2013","44","","Little Mountain","49-047-0014","AQS"
"10/19/2013","44","","Little Mountain","49-047-0014","AQS"
"10/20/2013","44","","Little Mountain","49-047-0014","AQS"
"10/21/2013","45","","Little Mountain","49-047-0014","AQS"
"10/22/2013","45","","Little Mountain","49-047-0014","AQS"
"10/23/2013","50","","Little Mountain","49-047-0014","AQS"
"10/24/2013","58","","Little Mountain","49-047-0014","AQS"
"10/25/2013","50","","Not Available","49-047-2002","AQS"
"10/26/2013","51","","Little Mountain","49-047-0014","AQS"
"10/27/2013","49","","Little Mountain","49-047-0014","AQS"
"10/28/2013","44","","Little Mountain","49-047-0014","AQS"
"10/29/2013","46","","Little Mountain","49-047-0014","AQS"
"10/30/2013","43","","Little Mountain","49-047-0014","AQS"
"10/31/2013","38","","Little Mountain","49-047-0014","AQS"
"11/01/2013","40","","Little Mountain","49-047-0014","AQS"
"11/02/2013","40","","Little Mountain","49-047-0014","AQS"
"11/03/2013","41","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"11/04/2013","37","","Little Mountain","49-047-0014","AQS"
"11/05/2013","39","","Little Mountain","49-047-0014","AQS"
"11/06/2013","38","","Little Mountain","49-047-0014","AQS"
"11/07/2013","39","","Little Mountain","49-047-0014","AQS"
"11/08/2013","43","","Little Mountain","49-047-0014","AQS"
"11/09/2013","42","","Little Mountain","49-047-0014","AQS"
"11/10/2013","46","","Little Mountain","49-047-0014","AQS"
"11/11/2013","44","","Little Mountain","49-047-0014","AQS"
"11/12/2013","47","","Little Mountain","49-047-0014","AQS"
"11/13/2013","44","","Little Mountain","49-047-0014","AQS"
"11/14/2013","42","","Little Mountain","49-047-0014","AQS"
"11/15/2013","40","","Little Mountain","49-047-0014","AQS"
"11/16/2013","40","","Little Mountain","49-047-0014","AQS"
"11/17/2013","43","","Little Mountain","49-047-0014","AQS"
"11/18/2013","43","","Little Mountain","49-047-0014","AQS"
"11/19/2013","40","","Little Mountain","49-047-0014","AQS"
"11/20/2013","37","","Little Mountain","49-047-0014","AQS"
"11/21/2013","48","","Little Mountain","49-047-0014","AQS"
"11/22/2013","47","","Little Mountain","49-047-0014","AQS"
"11/23/2013","42","","Little Mountain","49-047-0014","AQS"
"11/24/2013","43","","Little Mountain","49-047-0014","AQS"
"11/25/2013","42","","Little Mountain","49-047-0014","AQS"
"11/26/2013","44","","Little Mountain","49-047-0014","AQS"
"11/27/2013","40","","Little Mountain","49-047-0014","AQS"
"11/28/2013","41","","Little Mountain","49-047-0014","AQS"
"11/29/2013","39","","Little Mountain","49-047-0014","AQS"
"11/30/2013","38","","Little Mountain","49-047-0014","AQS"
"12/01/2013","34","","Little Mountain","49-047-0014","AQS"
"12/02/2013","35","","Little Mountain","49-047-0014","AQS"
"12/03/2013","45","","Not Available","49-047-2002","AQS"
"12/04/2013","32","","Little Mountain","49-047-0014","AQS"
"12/05/2013","33","","Little Mountain","49-047-0014","AQS"
"12/06/2013","38","","Little Mountain","49-047-0014","AQS"
"12/07/2013","40","","Little Mountain","49-047-0014","AQS"
"12/08/2013","40","","Not Available","49-047-2003","AQS"
"12/09/2013","41","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"12/10/2013","45","","Not Available","49-047-2002","AQS"
"12/11/2013","64","","Not Available","49-047-2003","AQS"
"12/12/2013","93","","Not Available","49-047-2002","AQS"
"12/13/2013","105","","Not Available","49-047-2002","AQS"
"12/14/2013","119","","Not Available","49-047-2002","AQS"
"12/15/2013","172","","Not Available","49-047-2003","AQS"
"12/16/2013","174","","Not Available","49-047-2002","AQS"
"12/17/2013","166","","Not Available","49-047-2002","AQS"
"12/18/2013","179","","Not Available","49-047-2002","AQS"
"12/19/2013","156","","Not Available","49-047-2002","AQS"
"12/20/2013","97","","Not Available","49-047-2003","AQS"
"12/21/2013","67","","Not Available","49-047-2003","AQS"
"12/22/2013","87","","Not Available","49-047-2003","AQS"
"12/23/2013","101","","Not Available","49-047-2003","AQS"
"12/24/2013","150","","Not Available","49-047-2003","AQS"
"12/25/2013","100","","Not Available","49-047-2003","AQS"
"12/26/2013","84","","Not Available","49-047-2003","AQS"
"12/27/2013","105","","Not Available","49-047-2003","AQS"
"12/28/2013","122","","Not Available","49-047-2003","AQS"
"12/29/2013","129","","Not Available","49-047-2003","AQS"
"12/30/2013","133","","Not Available","49-047-2003","AQS"
"12/31/2013","150","","Not Available","49-047-2003","AQS"
"01/01/2014","164","","Not Available","49-047-2003","AQS"
"01/02/2014","156","","Not Available","49-047-2003","AQS"
"01/03/2014","129","","Not Available","49-047-2003","AQS"
"01/04/2014","80","","Not Available","49-047-2003","AQS"
"01/05/2014","44","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"01/06/2014","51","","Not Available","49-047-2003","AQS"
"01/07/2014","45","","Not Available","49-047-2003","AQS"
"01/08/2014","64","","Not Available","49-047-2003","AQS"
"01/09/2014","74","","Not Available","49-047-2003","AQS"
"01/10/2014","46","","Not Available","49-047-2003","AQS"
"01/11/2014","64","","Not Available","49-047-2003","AQS"
"01/12/2014","41","","Little Mountain","49-047-0014","AQS"
"01/13/2014","44","","Little Mountain","49-047-0014","AQS"
