"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"05/11/2013","71","","Hawthorne","49-035-3006","AQS"
"05/12/2013","67","","Hawthorne","49-035-3006","AQS"
"05/13/2013","71","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/14/2013","50","","Hawthorne","49-035-3006","AQS"
"05/15/2013","51","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/16/2013","48","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/17/2013","58","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/18/2013","50","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/19/2013","48","","Hawthorne","49-035-3006","AQS"
"05/20/2013","41","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/21/2013","61","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/22/2013","58","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/23/2013","50","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/24/2013","74","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/25/2013","80","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/26/2013","87","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/27/2013","48","","Hawthorne","49-035-3006","AQS"
"05/28/2013","39","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/29/2013","50","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/30/2013","44","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"05/31/2013","51","","Hawthorne","49-035-3006","AQS"
"06/01/2013","87","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/02/2013","84","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/03/2013","58","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/04/2013","47","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/05/2013","74","","Hawthorne","49-035-3006","AQS"
"06/06/2013","48","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/07/2013","40","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/08/2013","58","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/09/2013","100","","Hawthorne","49-035-3006","AQS"
"06/10/2013","61","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/11/2013","77","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/12/2013","61","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/13/2013","48","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/14/2013","45","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/15/2013","93","","Hawthorne","49-035-3006","AQS"
"06/16/2013","74","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/17/2013","122","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/18/2013","115","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/19/2013","61","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/20/2013","43","","Hawthorne","49-035-3006","AQS"
"06/21/2013","44","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/22/2013","42","","Hawthorne","49-035-3006","AQS"
"06/23/2013","71","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/24/2013","61","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/25/2013","48","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/26/2013","61","","Hawthorne","49-035-3006","AQS"
"06/27/2013","105","","Hawthorne","49-035-3006","AQS"
"06/28/2013","115","","Hawthorne","49-035-3006","AQS"
"06/29/2013","87","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"06/30/2013","90","","Hawthorne","49-035-3006","AQS"
"07/01/2013","101","","Hawthorne","49-035-3006","AQS"
"07/02/2013","87","","Hawthorne","49-035-3006","AQS"
"07/03/2013","100","","Hawthorne","49-035-3006","AQS"
"07/04/2013","90","","Hawthorne","49-035-3006","AQS"
"07/05/2013","93","","Hawthorne","49-035-3006","AQS"
"07/06/2013","71","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"07/07/2013","58","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"07/08/2013","74","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"07/09/2013","136","","Hawthorne","49-035-3006","AQS"
"07/10/2013","136","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"07/11/2013","50","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"07/12/2013","58","","Hawthorne","49-035-3006","AQS"
"07/13/2013","48","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"07/14/2013","90","","Hawthorne","49-035-3006","AQS"
"07/15/2013","147","","Hawthorne","49-035-3006","AQS"
"07/16/2013","77","","Hawthorne","49-035-3006","AQS"
"07/17/2013","61","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"07/18/2013","115","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"07/19/2013","122","","Hawthorne","49-035-3006","AQS"
"07/20/2013","115","","Hawthorne","49-035-3006","AQS"
"07/21/2013","133","","Hawthorne","49-035-3006","AQS"
"07/22/2013","77","","Hawthorne","49-035-3006","AQS"
"07/23/2013","84","","Hawthorne","49-035-3006","AQS"
"07/24/2013","74","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"07/25/2013","64","","Hawthorne","49-035-3006","AQS"
"07/26/2013","74","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"07/27/2013","47","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"07/28/2013","51","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"07/29/2013","50","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"07/30/2013","77","","Hawthorne","49-035-3006","AQS"
"07/31/2013","48","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"08/01/2013","48","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"08/02/2013","74","","Hawthorne","49-035-3006","AQS"
"08/03/2013","50","","Hawthorne","49-035-3006","AQS"
"08/04/2013","61","","Hawthorne","49-035-3006","AQS"
"08/05/2013","64","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"08/06/2013","61","","Hawthorne","49-035-3006","AQS"
"08/07/2013","74","","Hawthorne","49-035-3006","AQS"
"08/08/2013","50","","Hawthorne","49-035-3006","AQS"
"08/09/2013","45","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"08/10/2013","47","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"08/11/2013","46","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"08/12/2013","47","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"08/13/2013","80","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"08/14/2013","64","","Hawthorne","49-035-3006","AQS"
"08/15/2013","71","","Hawthorne","49-035-3006","AQS"
"08/16/2013","77","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"08/17/2013","51","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"08/18/2013","84","","Hawthorne","49-035-3006","AQS"
"08/19/2013","61","","Hawthorne","49-035-3006","AQS"
"08/20/2013","64","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"08/21/2013","80","","Hawthorne","49-035-3006","AQS"
"08/22/2013","54","","Hawthorne","49-035-3006","AQS"
"08/23/2013","39","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"08/24/2013","50","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"08/25/2013","47","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"08/26/2013","43","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"08/27/2013","27","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"08/28/2013","41","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"08/29/2013","61","","Hawthorne","49-035-3006","AQS"
"08/30/2013","77","","Hawthorne","49-035-3006","AQS"
"08/31/2013","48","","Hawthorne","49-035-3006","AQS"
"09/01/2013","42","","Hawthorne","49-035-3006","AQS"
"09/02/2013","42","","Hawthorne","49-035-3006","AQS"
"09/03/2013","41","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"09/04/2013","58","","Hawthorne","49-035-3006","AQS"
"09/05/2013","58","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"09/06/2013","49","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"09/07/2013","46","","Hawthorne","49-035-3006","AQS"
"09/08/2013","46","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"09/09/2013","47","","Hawthorne","49-035-3006","AQS"
"09/10/2013","49","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"09/11/2013","46","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"09/12/2013","48","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"09/13/2013","38","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"09/14/2013","42","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"09/15/2013","45","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"09/16/2013","44","","Hawthorne","49-035-3006","AQS"
"09/17/2013","54","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"09/18/2013","43","","Hawthorne","49-035-3006","AQS"
"09/19/2013","44","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"09/20/2013","64","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"09/21/2013","47","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"09/22/2013","44","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"09/23/2013","38","","Hawthorne","49-035-3006","AQS"
"09/24/2013","50","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"09/25/2013","44","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"09/26/2013","39","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"09/27/2013","29","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"09/28/2013","34","","Hawthorne","49-035-3006","AQS"
"09/29/2013","38","","Hawthorne","49-035-3006","AQS"
"09/30/2013","38","","UTM COORDINATES AT PROBE LOCATION","49-035-2004","AQS"
"10/01/2013","32","","Hawthorne","49-035-3006","AQS"
"10/02/2013","28","","Hawthorne","49-035-3006","AQS"
"10/03/2013","32","","Hawthorne","49-035-3006","AQS"
"10/04/2013","20","","Hawthorne","49-035-3006","AQS"
"10/05/2013","32","","Hawthorne","49-035-3006","AQS"
"10/06/2013","39","","Hawthorne","49-035-3006","AQS"
"10/07/2013","24","","Hawthorne","49-035-3006","AQS"
"10/08/2013","37","","Hawthorne","49-035-3006","AQS"
"10/09/2013","28","","Hawthorne","49-035-3006","AQS"
"10/10/2013","31","","Hawthorne","49-035-3006","AQS"
"10/11/2013","33","","Hawthorne","49-035-3006","AQS"
"10/12/2013","35","","Hawthorne","49-035-3006","AQS"
"10/13/2013","38","","Hawthorne","49-035-3006","AQS"
"10/14/2013","30","","Hawthorne","49-035-3006","AQS"
"10/15/2013","30","","Hawthorne","49-035-3006","AQS"
"10/16/2013","31","","Hawthorne","49-035-3006","AQS"
"10/17/2013","31","","Hawthorne","49-035-3006","AQS"
"10/18/2013","34","","Hawthorne","49-035-3006","AQS"
"10/19/2013","34","","Hawthorne","49-035-3006","AQS"
"10/20/2013","33","","Hawthorne","49-035-3006","AQS"
"10/21/2013","30","","Hawthorne","49-035-3006","AQS"
"10/22/2013","26","","Hawthorne","49-035-3006","AQS"
"10/23/2013","29","","Hawthorne","49-035-3006","AQS"
"10/24/2013","29","","Hawthorne","49-035-3006","AQS"
"10/25/2013","29","","Hawthorne","49-035-3006","AQS"
"10/26/2013","37","","Hawthorne","49-035-3006","AQS"
"10/27/2013","38","","Hawthorne","49-035-3006","AQS"
"10/28/2013","38","","Hawthorne","49-035-3006","AQS"
"10/29/2013","34","","Hawthorne","49-035-3006","AQS"
"10/30/2013","25","","Hawthorne","49-035-3006","AQS"
"10/31/2013","29","","Hawthorne","49-035-3006","AQS"
"12/01/2013","21","","Hawthorne","49-035-3006","AQS"
"12/02/2013","32","","Hawthorne","49-035-3006","AQS"
"12/03/2013","33","","Hawthorne","49-035-3006","AQS"
"12/04/2013","19","","Hawthorne","49-035-3006","AQS"
"12/05/2013","18","","Hawthorne","49-035-3006","AQS"
"12/06/2013","19","","Hawthorne","49-035-3006","AQS"
"12/07/2013","28","","Hawthorne","49-035-3006","AQS"
